timestamp,source_file,timebase,actor,type,content,direct_quote,quote_source,overlay_ref,confidence,conflict_flag
00:01:54,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,file_elapsed,Unknown,odor_or_cannabis_talk,pass-1 mlx-whisper large-v3 draft harvested from 0153 priority window; not court-ready,Do you smoke marijuana?,WHISPER_DRAFT,F018,low,
00:01:58,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,file_elapsed,Unknown,odor_or_cannabis_talk,pass-1 mlx-whisper large-v3 draft harvested from 0153 priority window; not court-ready,Because I can smell something.,WHISPER_DRAFT,F018,low,
00:01:59,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,file_elapsed,Unknown,odor_or_cannabis_talk,pass-1 mlx-whisper large-v3 draft harvested from 0153 priority window; not court-ready,It smells a whole lot like marijuana to me.,WHISPER_DRAFT,F018,low,
00:02:20,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,file_elapsed,Unknown,alcohol_talk,pass-1 mlx-whisper large-v3 draft harvested from 0153 priority window; not court-ready,Have you had anything to drink tonight?,WHISPER_DRAFT,F004,low,
00:02:43,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,file_elapsed,Unknown,firearm_talk,pass-1 mlx-whisper large-v3 draft harvested from 0153 priority window; not court-ready,Is that your gun right there?,WHISPER_DRAFT,UNKNOWN,low,
00:02:56,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,file_elapsed,Unknown,firearm_talk,pass-1 mlx-whisper large-v3 draft harvested from 0153 priority window; not court-ready,"allowed to have that. I mean, it's a concealed handgun, you know. It's not a big deal. Alright,",WHISPER_DRAFT,UNKNOWN,low,
00:03:00,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,file_elapsed,Unknown,odor_or_cannabis_talk,pass-1 mlx-whisper large-v3 draft harvested from 0153 priority window; not court-ready,"hang tight for me, okay? Actually, hold on. So, since I can smell the marijuana, my partner",WHISPER_DRAFT,F018,low,
00:03:06,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,file_elapsed,Unknown,exit_or_cuff,pass-1 mlx-whisper large-v3 draft harvested from 0153 priority window; not court-ready,"just got here, that's why. I'm going to have you get out. I'm going to have you step out.",WHISPER_DRAFT,F009,low,
00:03:09,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,file_elapsed,Unknown,exit_or_cuff,pass-1 mlx-whisper large-v3 draft harvested from 0153 priority window; not court-ready,"Nah, I'm going to have you get out, man.",WHISPER_DRAFT,F009,low,
00:03:14,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,file_elapsed,Unknown,odor_or_cannabis_talk,pass-1 mlx-whisper large-v3 draft harvested from 0153 priority window; not court-ready,"Okay. Well, hey, I can search the vehicle for probable cause of marijuana, and I do",WHISPER_DRAFT,F018,low,
00:03:21,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,file_elapsed,Unknown,exit_or_cuff,pass-1 mlx-whisper large-v3 draft harvested from 0153 priority window; not court-ready,"believe that you're probably impaired. Okay, so I'm just going to have you step out and",WHISPER_DRAFT,F009,low,
00:03:34,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,file_elapsed,Unknown,exit_or_cuff,pass-1 mlx-whisper large-v3 draft harvested from 0153 priority window; not court-ready,first. I got that. I need to conduct my investigation. Are you going to step out of the vehicle?,WHISPER_DRAFT,F009,low,
00:03:56,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,file_elapsed,Unknown,firearm_talk,pass-1 mlx-whisper large-v3 draft harvested from 0153 priority window; not court-ready,come back here you're good come back here I know your gun was in the seat I'm,WHISPER_DRAFT,UNKNOWN,low,
