filename,hash,filename_clock,exif_datetime,exif_camera,width,height,window,description
Axon_Capture_Photo_2026-04-30_070617_414.jpg,2a847829aecd65f452cabbb4b62db15e73f1661156ef131044cc94594248d133,07:06:17,2026:04:30 07:06:17,Apple iPhone 15 Pro,4032,3024,recovery_0706_0748,AR-style rifle on cardboard on indoor table; optic on rail; no magazine inserted
Axon_Capture_Photo_2026-04-30_070703_414.jpg,e5fd947e812a04feb08c961273bc6c60273d00bcf140d14f44f0bece45f50415,07:07:03,2026:04:30 07:07:03,Apple iPhone 15 Pro,4032,3024,recovery_0706_0748,black semi-auto pistol on white cardboard; action zip-tied open; magazine absent
Axon_Capture_Photo_2026-04-30_071338_414.jpg,a4d85f290c6c7a4604ece89d5f732998ade88aadc1ea023d712c150f25539a26,07:13:38,2026:04:30 07:13:38,Apple iPhone 15 Pro,4032,3024,recovery_0706_0748,black revolver held with blue glove; cylinder open; markings present (serial REDACTED in this catalog)
Axon_Capture_Photo_2026-04-30_071343_414.jpg,bfd3af84a925ce7683a2ebd33a4213662659151672986db7a58d04f4eb0eddba,07:13:43,2026:04:30 07:13:43,Apple iPhone 15 Pro,4032,3024,recovery_0706_0748,"same revolver, grip wear visible; cylinder open; evidence bags in background"
Axon_Capture_Photo_2026-04-30_071405_414.jpg,fcb236275afd063856921f944c6f3bf733655806de4d61f430d5d56bba5b1c9c,07:14:05,2026:04:30 07:14:05,Apple iPhone 15 Pro,4032,3024,recovery_0706_0748,right-side close-up of zip-tied pistol; frame/slide markings present (serial REDACTED)
Axon_Capture_Photo_2026-04-30_071419_414.jpg,3305ea34cf241dd7cbe0bf6c088a36a48ca1ef4bf2dacff7ce978885bf0e22f1,07:14:19,2026:04:30 07:14:19,Apple iPhone 15 Pro,4032,3024,recovery_0706_0748,clear evidence bag of loose pistol-caliber cartridges plus three black pistol magazines on gray table
Axon_Capture_Photo_2026-04-30_071447_414.jpg,34e0fd1233ac144fdf9ece026bcac2fa361c4a9e7689dcc19157220d83c619ac,07:14:47,2026:04:30 07:14:47,Apple iPhone 15 Pro,4032,3024,recovery_0706_0748,close-up of AR-style lower receiver magazine-well markings (serial REDACTED)
Axon_Capture_Photo_2026-04-30_072033_414.jpg,fd05d3dcfb7ecf9caef30d064e4011104c765f119f30d297079e3eb9adf8db80,07:20:33,2026:04:30 07:20:33,Apple iPhone 15 Pro,4032,3024,recovery_0706_0748,optic/magnifier on cardboard; manufacturer label and codes present (IDs REDACTED)
Axon_Capture_Photo_2026-04-30_072043_414.jpg,46f83592532adfb1385dc087176419c57b226515b0b8b7bacdbe49b0b33d4bd5,07:20:43,2026:04:30 07:20:43,Apple iPhone 15 Pro,4032,3024,recovery_0706_0748,side view of rail-mounted magnifier on cardboard
Axon_Capture_Photo_2026-04-30_072044_414.jpg,66c0146bb47981f6d77b198ef2f7a6638cd2613dea9a23c57d7278e0c66af75a,07:20:44,2026:04:30 07:20:44,Apple iPhone 15 Pro,4032,3024,recovery_0706_0748,close-up of optic housing markings (IDs REDACTED)
